Region,Sales_Rep,Product_Category,Month,Q1_Sales,Q2_Sales,Q3_Sales,Q4_Sales,Annual_Target,Customer_Satisfaction,Units_Sold,Returns,Marketing_Spend,Years_Experience,Gender
North,Alice Kamau,Electronics,January,45000,52000,48000,61000,200000,4.2,320,12,8000,5,Female
North,Alice Kamau,Electronics,February,47000,54000,49000,63000,200000,4.3,335,10,8200,5,Female
North,Alice Kamau,Electronics,March,46000,53000,50000,62000,200000,4.1,328,11,8100,5,Female
North,Bob Osei,Electronics,January,38000,41000,39000,44000,200000,3.8,270,18,7000,3,Male
North,Bob Osei,Electronics,February,39000,42000,40000,45000,200000,3.7,275,20,7100,3,Male
North,Bob Osei,Electronics,March,37000,40000,38000,43000,200000,3.9,265,17,6900,3,Male
North,Carol Mensah,Furniture,January,29000,31000,35000,40000,140000,4.5,180,5,5000,7,Female
North,Carol Mensah,Furniture,February,30000,32000,36000,41000,140000,4.6,185,4,5100,7,Female
North,Carol Mensah,Furniture,March,28000,30000,34000,39000,140000,4.4,175,6,4900,7,Female
North,Daniel Agyei,Appliances,January,33000,35000,37000,42000,150000,4.0,210,9,6000,4,Male
North,Daniel Agyei,Appliances,February,34000,36000,38000,43000,150000,4.1,215,8,6100,4,Male
North,Daniel Agyei,Appliances,March,32000,34000,36000,41000,150000,3.9,205,10,5900,4,Male
South,David Nkosi,Electronics,January,55000,58000,62000,70000,240000,4.7,390,8,9500,8,Male
South,David Nkosi,Electronics,February,57000,60000,64000,72000,240000,4.8,400,7,9700,8,Male
South,David Nkosi,Electronics,March,56000,59000,63000,71000,240000,4.6,395,9,9600,8,Male
South,Eve Boateng,Furniture,January,22000,25000,28000,30000,110000,3.5,140,15,4000,2,Female
South,Eve Boateng,Furniture,February,23000,26000,29000,31000,110000,3.6,145,14,4100,2,Female
South,Eve Boateng,Furniture,March,21000,24000,27000,29000,110000,3.4,135,16,3900,2,Female
South,Frank Okafor,Appliances,January,41000,39000,43000,47000,170000,4.0,260,11,7000,5,Male
South,Frank Okafor,Appliances,February,42000,40000,44000,48000,170000,4.1,265,10,7100,5,Male
South,Frank Okafor,Appliances,March,40000,38000,42000,46000,170000,3.9,255,12,6900,5,Male
South,Grace Adjei,Electronics,January,50000,54000,58000,66000,220000,4.4,355,10,8500,6,Female
South,Grace Adjei,Electronics,February,51000,55000,59000,67000,220000,4.5,360,9,8600,6,Female
South,Grace Adjei,Electronics,March,49000,53000,57000,65000,220000,4.3,350,11,8400,6,Female
East,Henry Darko,Furniture,January,27000,29000,31000,35000,125000,3.9,170,8,4500,3,Male
East,Henry Darko,Furniture,February,28000,30000,32000,36000,125000,4.0,175,7,4600,3,Male
East,Henry Darko,Furniture,March,26000,28000,30000,34000,125000,3.8,165,9,4400,3,Male
East,Irene Asante,Electronics,January,49000,53000,57000,65000,220000,4.6,348,9,8500,7,Female
East,Irene Asante,Electronics,February,50000,54000,58000,66000,220000,4.7,353,8,8600,7,Female
East,Irene Asante,Electronics,March,48000,52000,56000,64000,220000,4.5,343,10,8400,7,Female
East,James Owusu,Appliances,January,35000,37000,39000,44000,155000,4.1,222,9,6200,4,Male
East,James Owusu,Appliances,February,36000,38000,40000,45000,155000,4.2,227,8,6300,4,Male
East,James Owusu,Appliances,March,34000,36000,38000,43000,155000,4.0,217,10,6100,4,Male
East,Karen Bediako,Furniture,January,31000,34000,36000,41000,145000,4.4,195,6,5200,6,Female
East,Karen Bediako,Furniture,February,32000,35000,37000,42000,145000,4.5,200,5,5300,6,Female
East,Karen Bediako,Furniture,March,30000,33000,35000,40000,145000,4.3,190,7,5100,6,Female
West,Leo Amponsah,Electronics,January,42000,46000,50000,58000,200000,4.0,298,13,7800,4,Male
West,Leo Amponsah,Electronics,February,43000,47000,51000,59000,200000,4.1,303,12,7900,4,Male
West,Leo Amponsah,Electronics,March,41000,45000,49000,57000,200000,3.9,293,14,7700,4,Male
West,Mary Tetteh,Appliances,January,36000,38000,41000,46000,160000,4.2,228,8,6400,5,Female
West,Mary Tetteh,Appliances,February,37000,39000,42000,47000,160000,4.3,233,7,6500,5,Female
West,Mary Tetteh,Appliances,March,35000,37000,40000,45000,160000,4.1,223,9,6300,5,Female
West,Nathan Quaye,Furniture,January,25000,27000,30000,34000,120000,3.7,158,11,4200,2,Male
West,Nathan Quaye,Furniture,February,26000,28000,31000,35000,120000,3.8,163,10,4300,2,Male
West,Nathan Quaye,Furniture,March,24000,26000,29000,33000,120000,3.6,153,12,4100,2,Male
North,Olivia Sarpong,Furniture,January,32000,34000,37000,42000,145000,4.3,202,7,5500,5,Female
North,Olivia Sarpong,Furniture,February,33000,35000,38000,43000,145000,4.4,207,6,5600,5,Female
North,Olivia Sarpong,Furniture,March,31000,33000,36000,41000,145000,4.2,197,8,5400,5,Female
South,Peter Antwi,Appliances,January,44000,46000,49000,54000,185000,4.3,278,8,7500,6,Male
South,Peter Antwi,Appliances,February,45000,47000,50000,55000,185000,4.4,283,7,7600,6,Male
South,Peter Antwi,Appliances,March,43000,45000,48000,53000,185000,4.2,273,9,7400,6,Male
